ID,Opponent,Home,Result,Mins,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Game Score,+/-
202201280ATL,ATL,True,L,35:45,5,17,.294,2,8,.250,8,8,1.000,1,5,6,4,1,2,5,3,20,11.3,-10
202201290NOP,NOP,True,W,37:27,17,26,.654,4,13,.308,0,0,,0,8,8,7,3,0,2,3,38,33.7,+21
202201310BOS,MIA,False,W,31:16,7,15,.467,3,7,.429,3,5,.600,1,11,12,5,0,0,2,1,20,16.6,+30
202202020BOS,CHO,False,W,32:45,6,16,.375,1,7,.143,6,6,1.000,0,6,6,9,2,0,3,4,19,15.7,+9
202202040DET,DET,True,W,28:08,9,21,.429,4,9,.444,2,3,.667,1,8,9,1,1,0,2,0,24,15.3,+14
202202060ORL,ORL,True,W,35:24,6,18,.333,2,8,.250,1,2,.500,4,5,9,7,1,0,4,1,15,10.2,+32
202202080BRK,BRK,True,W,27:04,7,11,.636,2,6,.333,3,4,.750,0,5,5,4,1,0,0,0,19,19.0,+32
202202110BOS,DEN,False,W,36:53,8,19,.421,1,8,.125,7,8,.875,2,4,6,5,3,0,2,1,24,20.2,+10
202202130BOS,ATL,False,W,40:06,13,27,.481,4,10,.400,8,9,.889,2,8,10,3,1,2,2,3,38,29.0,+11
202202150PHI,PHI,True,W,29:36,9,17,.529,4,8,.500,6,6,1.000,2,10,12,6,0,2,0,3,28,28.5,+34
202202160BOS,DET,False,L,39:07,7,15,.467,2,6,.333,6,6,1.000,0,4,4,5,1,0,7,0,22,13.0,-1
202202240BRK,BRK,True,W,34:49,10,20,.500,4,9,.444,6,7,.857,1,6,7,4,1,0,4,1,30,21.5,+22
202202260DET,DET,True,W,38:53,8,21,.381,4,9,.444,6,8,.750,0,11,11,6,1,1,1,3,26,20.7,+6
202202270IND,IND,True,L,34:17,7,22,.318,2,12,.167,8,8,1.000,2,3,5,3,1,0,2,4,24,13.2,-24
202203010BOS,ATL,False,W,39:01,12,25,.480,3,10,.300,6,7,.857,1,7,8,7,0,0,2,2,33,24.8,+4
202203030BOS,MEM,False,W,38:55,14,25,.560,2,7,.286,7,8,.875,1,5,6,5,0,1,6,2,37,24.3,+17
202203060BOS,BRK,False,W,41:17,16,30,.533,8,15,.533,14,17,.824,2,3,5,3,0,0,2,4,54,39.0,+12
202203090CHO,CHO,True,W,37:32,16,24,.667,6,9,.667,6,6,1.000,0,5,5,3,3,1,2,3,44,37.7,+18
202203110BOS,DET,False,W,37:42,13,27,.481,2,9,.222,3,3,1.000,2,6,8,6,1,0,1,3,31,23.5,+14
202203130BOS,DAL,False,L,41:13,7,23,.304,3,10,.300,4,5,.800,4,7,11,4,0,0,2,0,21,13.0,+3
202203160GSW,GSW,True,W,36:49,6,16,.375,3,8,.375,11,12,.917,0,12,12,4,1,0,4,4,26,18.6,+17
202203180SAC,SAC,True,W,34:09,12,16,.750,7,10,.700,1,1,1.000,0,5,5,4,0,0,2,1,32,27.5,+40
202203200DEN,DEN,True,W,32:45,11,17,.647,6,10,.600,2,2,1.000,0,6,6,7,1,0,5,3,30,24.0,+22
202203210OKC,OKC,True,W,38:50,11,19,.579,5,11,.455,9,9,1.000,0,7,7,6,2,1,3,1,36,32.7,+12
202203230BOS,UTA,False,W,28:41,9,15,.600,5,8,.625,3,3,1.000,0,3,3,3,0,1,2,2,26,20.0,+16
202203270BOS,MIN,False,W,33:43,12,21,.571,5,11,.455,5,5,1.000,0,5,5,6,1,1,3,1,34,28.1,+34
202203300BOS,MIA,False,L,39:35,9,17,.529,0,5,.000,5,6,.833,1,4,5,6,2,0,4,4,23,16.8,-12
202204010BOS,IND,False,W,37:13,10,24,.417,3,9,.333,8,10,.800,2,4,6,6,1,1,1,0,31,24.9,-1
202204030BOS,WAS,False,W,29:09,9,17,.529,1,5,.200,3,6,.500,2,4,6,7,2,1,2,3,22,19.5,+22
202204060CHI,CHI,True,W,30:09,5,18,.278,1,8,.125,5,7,.714,0,10,10,8,2,1,2,1,16,13.5,+22
202204100MEM,MEM,True,W,26:03,11,14,.786,6,8,.750,3,3,1.000,0,9,9,3,1,0,5,2,31,25.6,+29
202210180BOS,PHI,False,W,38:38,13,20,.650,2,7,.286,7,9,.778,0,12,12,4,1,1,3,1,35,30.1,+10
202210210MIA,MIA,True,W,36:47,10,22,.455,2,7,.286,7,7,1.000,2,3,5,4,1,2,2,1,29,22.7,-1
202210220ORL,ORL,True,W,37:39,14,21,.667,4,10,.400,8,9,.889,0,8,8,1,1,2,1,2,40,34.2,+6
202210240CHI,CHI,True,L,35:26,8,18,.444,4,8,.500,6,6,1.000,0,8,8,5,0,0,1,2,26,20.7,-8
202210280BOS,CLE,False,L,42:11,11,19,.579,3,7,.429,7,8,.875,1,6,7,4,1,1,4,4,32,24.1,-10
202210300BOS,WAS,False,W,27:25,8,15,.533,5,10,.500,2,2,1.000,0,4,4,3,1,0,4,0,23,16.0,+10
202211020CLE,CLE,True,L,42:52,8,21,.381,2,9,.222,8,8,1.000,3,9,12,6,1,4,6,0,26,21.3,-16
202211040BOS,CHI,False,W,40:03,8,23,.348,3,10,.300,17,20,.850,2,10,12,6,1,1,1,4,36,29.6,+11
202211050NYK,NYK,True,W,36:31,8,17,.471,6,13,.462,4,4,1.000,0,4,4,5,1,2,3,3,26,20.2,+12
202211070MEM,MEM,True,W,39:35,12,25,.480,3,11,.273,12,16,.750,0,3,3,2,0,2,2,2,39,25.6,+15
202211090BOS,DET,False,W,31:35,10,20,.500,5,11,.455,6,7,.857,0,1,1,5,1,1,1,4,31,23.5,+16
202211110BOS,DEN,False,W,37:19,11,21,.524,2,7,.286,10,11,.909,0,8,8,5,0,0,1,4,34,26.6,+18
202211120DET,DET,True,W,40:59,14,28,.500,7,14,.500,8,10,.800,2,8,10,3,1,1,3,2,43,32.0,+7
202211140BOS,OKC,False,W,38:00,9,23,.391,1,9,.111,8,10,.800,1,9,10,1,3,3,1,2,27,21.1,+2
202211160ATL,ATL,True,W,32:54,6,19,.316,3,10,.300,4,4,1.000,1,6,7,8,1,1,2,1,19,15.5,+28
202211180NOP,NOP,True,W,39:28,6,18,.333,2,10,.200,5,6,.833,0,7,7,10,0,0,3,1,19,14.1,+11
202211210CHI,CHI,True,L,35:46,9,19,.474,4,10,.400,6,7,.857,2,9,11,7,0,0,4,1,28,22.5,-13
202211230BOS,DAL,False,W,36:49,11,24,.458,2,7,.286,13,15,.867,3,10,13,5,0,2,2,1,37,31.4,+14
202211250BOS,SAC,False,W,31:09,10,17,.588,2,6,.333,8,9,.889,1,7,8,4,1,0,3,4,30,23.7,+12
202211280BOS,CHO,False,W,29:50,15,28,.536,4,14,.286,1,1,1.000,0,3,3,3,2,1,0,3,35,25.9,+45
202211300BOS,MIA,False,W,39:13,15,25,.600,8,12,.667,11,12,.917,1,10,11,3,2,0,1,3,49,42.7,+29
202212020BOS,MIA,False,L,41:02,5,18,.278,0,7,.000,4,6,.667,3,9,12,3,0,0,5,4,14,2.9,0
202212040BRK,BRK,True,W,36:38,10,19,.526,3,6,.500,6,6,1.000,2,9,11,1,4,0,9,3,29,18.3,+12
202212050TOR,TOR,True,W,38:44,11,24,.458,5,10,.500,4,5,.800,3,9,12,3,1,1,4,2,31,22.0,+9
202212070PHO,PHO,True,W,29:06,9,19,.474,3,8,.375,4,6,.667,0,5,5,2,2,0,3,2,25,15.6,+26
202212100GSW,GSW,True,L,39:45,6,21,.286,2,9,.222,4,7,.571,1,6,7,2,3,1,2,2,18,9.3,-13
202212120LAC,LAC,True,L,36:34,7,20,.350,2,8,.250,4,4,1.000,2,9,11,4,1,0,3,3,20,12.5,-18
202212130LAL,LAL,True,W,43:55,15,29,.517,5,10,.500,9,10,.900,1,8,9,6,0,1,4,1,44,32.9,+12
202212160BOS,ORL,False,L,38:03,9,20,.450,2,8,.250,11,12,.917,3,4,7,3,2,0,2,1,31,25.2,-10
202212210BOS,IND,False,L,41:03,13,25,.520,4,11,.364,11,13,.846,1,4,5,4,2,1,2,0,41,33.3,+4
202212230BOS,MIN,False,W,35:00,10,22,.455,1,6,.167,9,11,.818,2,6,8,5,1,0,3,3,30,21.3,+11
202212250BOS,MIL,False,W,35:58,14,22,.636,3,7,.429,10,10,1.000,0,7,7,5,3,0,1,3,41,37.6,+18
202212270BOS,HOU,False,W,34:06,12,25,.480,6,16,.375,8,8,1.000,0,8,8,4,1,1,2,2,38,29.4,+12
202212290BOS,LAC,False,W,35:45,10,26,.385,3,11,.273,6,10,.600,1,10,11,1,0,1,2,2,29,15.5,-5
202301010DEN,DEN,True,L,35:31,7,16,.438,0,4,.000,11,14,.786,0,7,7,6,2,0,5,1,25,18.3,-15
202301030OKC,OKC,True,L,30:21,9,17,.529,2,7,.286,7,7,1.000,1,5,6,2,0,0,4,2,27,17.5,-25
202301050DAL,DAL,True,W,35:26,8,22,.364,2,8,.250,11,12,.917,2,12,14,10,1,2,2,2,29,28.0,+15
202301070SAS,SAS,True,W,36:02,13,26,.500,5,10,.500,3,5,.600,0,4,4,2,0,0,2,3,34,19.6,+2
202301090BOS,CHI,False,W,37:49,10,21,.476,4,11,.364,8,8,1.000,0,8,8,7,1,0,1,2,32,27.8,+14
202301110BOS,NOP,False,W,35:55,10,22,.455,3,8,.375,8,10,.800,2,8,10,4,1,0,0,2,31,25.6,+12
202301120BRK,BRK,True,W,38:22,7,22,.318,2,10,.200,4,4,1.000,0,11,11,5,0,1,3,3,20,10.7,+2
202301140CHO,CHO,True,W,36:54,12,27,.444,4,14,.286,5,5,1.000,3,6,9,6,0,1,1,0,33,26.7,+26
202301160CHO,CHO,True,W,40:10,15,23,.652,7,12,.583,14,14,1.000,1,8,9,5,0,0,4,3,51,42.3,+15
202301190BOS,GSW,False,W,48:07,9,27,.333,4,13,.308,12,12,1.000,2,17,19,6,3,0,7,2,34,24.6,+7
202301230ORL,ORL,True,L,37:38,9,19,.474,4,10,.400,4,6,.667,0,6,6,7,1,0,3,2,26,19.4,+6
202301240MIA,MIA,True,L,39:39,9,18,.500,2,5,.400,11,14,.786,0,14,14,7,0,0,7,4,31,21.3,-3
202301260BOS,NYK,False,L,43:07,12,26,.462,2,7,.286,9,9,1.000,2,12,14,4,1,1,3,3,35,26.9,+6
202301280BOS,LAL,False,W,47:20,8,25,.320,3,10,.300,11,12,.917,2,9,11,4,2,1,6,3,30,17.7,+3
202302010BOS,BRK,False,W,29:19,12,19,.632,7,12,.583,0,0,,1,8,9,4,2,1,1,1,31,29.7,+46
202302030BOS,PHO,False,L,37:53,3,15,.200,3,10,.300,11,12,.917,0,6,6,5,0,0,2,3,20,12.4,+1
202302060DET,DET,True,W,39:21,11,24,.458,3,9,.333,9,10,.900,2,9,11,6,0,1,3,4,34,25.6,+16
202302080BOS,PHI,False,W,37:24,5,15,.333,1,5,.200,1,3,.333,1,7,8,9,1,1,4,2,12,8.7,+5
202302100BOS,CHO,False,W,36:55,13,21,.619,5,10,.500,10,12,.833,0,4,4,4,1,2,4,2,41,32.3,+2
202302120BOS,MEM,False,W,37:59,3,16,.188,1,8,.125,9,12,.750,0,7,7,3,2,2,3,0,16,9.4,+7
202302150BOS,DET,False,W,34:02,15,24,.625,6,10,.600,2,2,1.000,0,9,9,7,0,0,4,3,38,29.6,+1
202302230IND,IND,True,W,41:42,9,25,.360,3,12,.250,10,11,.909,3,9,12,7,2,1,4,1,31,24.7,-8
202302250PHI,PHI,True,W,36:26,7,17,.412,3,8,.375,1,2,.500,3,10,13,6,0,1,5,1,18,13.1,-6
202302270NYK,NYK,True,L,36:41,6,18,.333,1,9,.111,1,1,1.000,2,5,7,9,1,0,4,1,14,9.6,-18
202303010BOS,CLE,False,W,35:57,13,21,.619,4,6,.667,11,14,.786,2,9,11,8,0,0,3,1,41,36.6,+4
202303030BOS,BRK,False,L,38:20,10,23,.435,0,7,.000,2,2,1.000,1,12,13,5,1,2,4,2,22,15.3,-19
202303050BOS,NYK,False,L,48:57,12,30,.400,6,17,.353,10,12,.833,2,9,11,6,0,0,2,2,40,28.5,+4
202303080BOS,POR,False,W,30:44,11,17,.647,6,10,.600,2,4,.500,1,6,7,2,1,0,3,0,30,23.6,+21
202303110ATL,ATL,True,W,35:27,12,25,.480,5,14,.357,5,6,.833,0,15,15,6,0,1,1,5,34,27.3,+13
202303130HOU,HOU,True,L,41:04,8,22,.364,2,10,.200,4,4,1.000,0,8,8,6,1,0,4,1,22,13.0,-2
202303150MIN,MIN,True,W,36:55,4,16,.250,0,8,.000,14,16,.875,1,11,12,2,2,1,2,5,22,15.7,-3
202303170POR,POR,True,W,36:29,8,20,.400,2,11,.182,16,18,.889,1,11,12,4,3,0,5,2,34,26.4,+11
202303180UTA,UTA,True,L,38:42,4,12,.333,3,8,.375,4,6,.667,0,3,3,6,0,1,2,3,15,10.0,-13
202303210SAC,SAC,True,W,35:16,14,25,.560,2,7,.286,6,11,.545,1,7,8,4,2,0,1,0,36,28.7,+21
202303240BOS,IND,False,W,32:26,13,24,.542,3,9,.333,5,6,.833,0,7,7,2,2,0,6,3,34,20.3,+23
202303280WAS,WAS,True,L,31:52,11,19,.579,2,7,.286,4,4,1.000,0,9,9,5,0,1,3,4,28,21.4,-10
202303300MIL,MIL,True,W,30:43,12,18,.667,8,10,.800,8,8,1.000,1,7,8,1,0,0,0,1,40,35.3,+36
202303310BOS,UTA,False,W,35:47,12,17,.706,5,8,.625,10,11,.909,1,10,11,3,3,0,0,4,39,38.7,+7
202304040PHI,PHI,True,L,37:48,7,20,.350,2,8,.250,3,5,.600,1,5,6,6,3,0,2,2,19,13.6,-13
202304070BOS,TOR,False,W,19:56,7,12,.583,0,5,.000,7,9,.778,1,2,3,4,0,0,3,2,21,14.9,+23
202310250NYK,NYK,True,W,38:39,13,22,.591,3,8,.375,5,6,.833,0,11,11,4,2,1,4,3,34,27.0,0
202310270BOS,MIA,False,W,41:26,9,22,.409,3,10,.300,1,3,.333,0,8,8,5,1,0,2,4,22,12.7,+13
202310300WAS,WAS,True,W,27:36,14,21,.667,4,9,.444,1,1,1.000,0,6,6,3,0,0,2,2,33,25.0,+27
202311010BOS,IND,False,W,26:34,9,15,.600,3,5,.600,9,10,.900,2,10,12,4,0,0,2,1,30,27.5,+36
202311040BRK,BRK,True,W,40:52,10,20,.500,6,10,.600,6,6,1.000,1,10,11,1,0,0,3,1,32,23.0,+18
202311060MIN,MIN,True,L,42:58,12,22,.545,2,8,.250,6,8,.750,0,5,5,2,5,0,6,2,32,21.7,+3
202311080PHI,PHI,True,L,37:05,6,14,.429,2,6,.333,2,3,.667,1,14,15,6,3,0,2,2,16,17.5,-1
202311100BOS,BRK,False,W,33:18,6,17,.353,4,11,.364,7,9,.778,1,9,10,3,0,0,2,1,23,15.8,+28
202311110BOS,TOR,False,W,34:05,10,18,.556,3,9,.333,4,6,.667,0,5,5,4,0,1,1,2,27,20.8,+42
202311130BOS,NYK,False,W,39:28,13,23,.565,5,12,.417,4,5,.800,1,5,6,7,1,0,3,5,35,26.8,+12
202311150PHI,PHI,True,W,38:30,10,23,.435,4,10,.400,5,6,.833,2,6,8,6,2,0,3,1,29,22.5,+2
202311170TOR,TOR,True,W,37:25,8,22,.364,1,11,.091,0,0,,1,6,7,2,1,0,3,3,17,5.5,-4
202311190MEM,MEM,True,W,35:15,7,13,.538,1,1,1.000,5,6,.833,2,7,9,5,1,1,8,4,20,12.4,-1
202311200CHO,CHO,True,L,43:54,15,28,.536,7,15,.467,8,10,.800,0,13,13,6,0,2,3,1,45,36.7,-5
202311220BOS,MIL,False,W,36:01,7,17,.412,2,9,.222,7,9,.778,0,11,11,4,0,1,2,2,23,17.1,-2
202311240ORL,ORL,True,L,38:55,7,16,.438,0,3,.000,12,13,.923,0,5,5,3,2,0,2,3,26,19.6,-21
202311260BOS,ATL,False,W,38:48,11,25,.440,5,13,.385,7,10,.700,1,8,9,4,2,0,6,2,34,20.8,+3
202311280BOS,CHI,False,W,35:33,8,16,.500,2,8,.250,3,3,1.000,1,6,7,4,0,0,4,2,21,13.5,+18
202312010BOS,PHI,False,W,27:27,6,9,.667,2,5,.400,7,9,.778,0,7,7,4,1,1,7,1,21,15.5,-7
202312040IND,IND,True,L,37:22,13,26,.500,2,8,.250,4,7,.571,1,11,12,6,1,0,2,2,32,24.2,-14
202312080BOS,NYK,False,W,38:36,8,18,.444,3,9,.333,6,8,.750,0,6,6,5,1,0,0,3,25,19.9,+17
202312120BOS,CLE,False,W,40:34,7,19,.368,2,9,.222,9,9,1.000,0,10,10,5,0,2,4,3,25,17.2,+9
202312140BOS,CLE,False,W,36:26,9,22,.409,3,10,.300,6,8,.750,3,8,11,3,0,3,3,1,27,19.7,+2
202312150BOS,ORL,False,W,38:47,11,22,.500,2,9,.222,6,9,.667,0,6,6,4,0,0,2,3,30,19.2,+14
202312170BOS,ORL,False,W,30:52,8,21,.381,4,6,.667,3,4,.750,3,5,8,3,0,1,1,3,23,15.3,+9
202312190GSW,GSW,True,L,40:57,5,17,.294,2,9,.222,3,3,1.000,3,5,8,7,2,0,0,0,15,15.6,-9
202312230LAC,LAC,True,W,30:20,9,16,.563,5,10,.500,7,9,.778,0,4,4,2,1,0,2,0,30,23.2,+19
202312250LAL,LAL,True,W,41:14,6,15,.400,1,6,.167,12,13,.923,0,8,8,7,0,1,1,0,25,23.5,+10
202312280BOS,DET,False,W,43:19,11,31,.355,2,11,.182,7,8,.875,2,5,7,10,5,0,3,4,31,23.6,+10
202312310SAS,SAS,True,W,30:50,10,17,.588,5,10,.500,0,0,,1,5,6,2,0,2,3,1,25,18.7,+32
202401020OKC,OKC,True,L,37:36,10,21,.476,2,5,.400,8,10,.800,5,8,13,8,1,0,4,3,30,25.8,0
202401050BOS,UTA,False,W,24:38,6,12,.500,5,8,.625,13,14,.929,0,9,9,5,1,1,1,1,30,30.1,+34
202401060IND,IND,True,W,37:36,14,23,.609,8,13,.615,2,4,.500,1,12,13,6,1,0,4,4,38,30.6,+19
202401100BOS,MIN,False,W,42:15,13,26,.500,6,11,.545,13,14,.929,0,4,4,2,1,0,1,3,45,33.0,+3
202401110MIL,MIL,True,L,15:45,2,6,.333,0,1,.000,3,4,.750,0,1,1,3,0,0,1,2,7,3.8,-31
202401130BOS,HOU,False,W,29:30,9,17,.529,4,7,.571,5,7,.714,1,7,8,5,1,1,2,2,27,23.1,+9
202401150TOR,TOR,True,W,37:28,7,19,.368,1,6,.167,4,4,1.000,0,14,14,6,1,1,1,2,19,16.8,+8
202401170BOS,SAS,False,W,31:33,9,21,.429,3,8,.375,3,5,.600,0,5,5,2,0,0,2,2,24,12.2,+11
202401190BOS,DEN,False,L,38:55,9,24,.375,1,8,.125,3,3,1.000,2,6,8,5,1,0,0,1,22,16.1,+6
202401210HOU,HOU,True,W,35:07,4,17,.235,1,6,.167,9,12,.750,1,6,7,3,1,0,2,0,18,10.1,-4
202401220DAL,DAL,True,W,40:55,11,21,.524,2,8,.250,15,19,.789,0,11,11,5,3,2,0,4,39,36.7,+27
202401250MIA,MIA,True,W,32:12,7,15,.467,3,7,.429,9,10,.900,1,7,8,4,0,0,1,1,26,22.1,+22
202401270BOS,LAC,False,L,30:02,8,18,.444,2,4,.500,3,3,1.000,3,8,11,1,0,1,3,2,21,13.7,-32
202401290BOS,NOP,False,W,37:30,10,18,.556,2,8,.250,6,7,.857,0,10,10,8,3,1,7,1,28,23.9,+9
202401300BOS,IND,False,W,38:50,12,19,.632,4,9,.444,2,3,.667,0,7,7,7,1,2,2,2,30,27.7,-4
202402010BOS,LAL,False,L,36:37,8,21,.381,5,10,.500,2,2,1.000,2,5,7,3,1,1,2,3,23,15.0,-12
202402040BOS,MEM,False,W,30:48,12,22,.545,6,12,.500,4,4,1.000,1,7,8,7,1,0,2,1,34,29.7,+27
202402070BOS,ATL,False,W,35:36,8,21,.381,2,13,.154,2,2,1.000,0,9,9,7,1,0,3,3,20,12.9,+3
202402090BOS,WAS,False,W,38:04,12,22,.545,3,10,.300,8,9,.889,1,9,10,8,1,2,2,1,35,33.0,+9
202402110MIA,MIA,True,W,38:41,11,20,.550,2,6,.333,2,2,1.000,1,9,10,9,0,2,1,1,26,26.1,+5
202402130BRK,BRK,True,W,38:59,14,26,.538,5,11,.455,8,8,1.000,0,14,14,5,2,1,2,3,41,35.6,+21
202402140BOS,BRK,False,W,28:23,7,16,.438,2,7,.286,4,5,.800,1,6,7,9,0,0,1,0,20,19.0,+27
202402220CHI,CHI,True,W,34:55,8,17,.471,5,10,.500,4,6,.667,0,7,7,5,3,0,3,3,25,19.9,+13
202402240NYK,NYK,True,W,43:22,7,15,.467,2,8,.250,3,4,.750,1,5,6,6,2,1,4,3,19,14.8,+15
202402270BOS,PHI,False,W,34:45,9,20,.450,1,7,.143,10,11,.909,0,11,11,8,0,1,1,1,29,26.4,+27
202403010BOS,DAL,False,W,37:10,10,19,.526,5,9,.556,7,7,1.000,0,8,8,3,0,0,4,2,32,22.4,+17
202403030BOS,GSW,False,W,25:12,9,13,.692,4,5,.800,5,5,1.000,0,3,3,5,1,1,0,2,27,26.8,+40
202403050CLE,CLE,True,L,37:31,8,21,.381,5,9,.556,5,6,.833,2,11,13,2,0,0,2,3,26,17.0,-7
202403070DEN,DEN,True,L,38:39,5,13,.385,2,5,.400,3,4,.750,1,3,4,8,2,0,5,4,15,10.1,-2
